epoch,time,train/cls_loss,train/off_loss,train/placeholder,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/cls_loss,val/off_loss,val/placeholder,lr/pg0,lr/pg1,lr/pg2
1,67.2021,27.9338,1.54884,0,0,0,0,0,16.7725,1.38755,0,0.000664762,0.000664762,0.000664762
2,127.615,14.4269,1.38713,0,0,0,0,0,9.26393,1.31073,0,0.00131495,0.00131495,0.00131495
3,188.317,8.8627,1.36471,0,0,0,0,0,5.82024,1.29334,0,0.00194864,0.00194864,0.00194864
4,250.379,7.00403,1.35041,0,0,0,0,0,5.31086,1.29323,0,0.00192575,0.00192575,0.00192575
5,313.698,6.22378,1.34829,0,0,0,0,0,5.29089,1.2916,0,0.001901,0.001901,0.001901
6,375.891,6.00821,1.34757,0,0,0,0,0,5.17788,1.27299,0,0.00187625,0.00187625,0.00187625
7,441.474,5.84193,1.33081,0,0,0,0,0,4.8762,1.25996,0,0.0018515,0.0018515,0.0018515
8,504.766,5.62903,1.31888,0,0,0,0,0,4.86475,1.24516,0,0.00182675,0.00182675,0.00182675
9,571.181,5.37379,1.31009,0,0,0,0,0,4.68403,1.24353,0,0.001802,0.001802,0.001802
10,635.188,5.34111,1.3088,0,0,0,0,0,4.68117,1.23713,0,0.00177725,0.00177725,0.00177725
11,701.781,5.25112,1.30319,0,0,0,0,0,4.68992,1.25053,0,0.0017525,0.0017525,0.0017525
12,767.895,5.26803,1.29647,0,0,0,0,0,4.63754,1.2202,0,0.00172775,0.00172775,0.00172775
13,835.635,5.27242,1.29698,0,0,0,0,0,4.52136,1.21106,0,0.001703,0.001703,0.001703
14,903.678,5.1314,1.29148,0,0,0,0,0,4.68519,1.21949,0,0.00167825,0.00167825,0.00167825
15,972.794,5.13192,1.29142,0,0,0,0,0,4.60443,1.21529,0,0.0016535,0.0016535,0.0016535
16,1039.51,5.07287,1.28064,0,0,0,0,0,4.54969,1.20419,0,0.00162875,0.00162875,0.00162875
17,1107.61,5.02157,1.27863,0,0,0,0,0,4.41372,1.20227,0,0.001604,0.001604,0.001604
18,1173.93,5.00815,1.2724,0,0,0,0,0,4.47125,1.19365,0,0.00157925,0.00157925,0.00157925
19,1239.4,5.02789,1.27306,0,0,0,0,0,4.46238,1.20096,0,0.0015545,0.0015545,0.0015545
20,1311.6,4.97979,1.26991,0,0,0,0,0,4.49102,1.19402,0,0.00152975,0.00152975,0.00152975
21,1376.55,5.18306,1.27035,0,0,0,0,0,4.45416,1.18797,0,0.001505,0.001505,0.001505
22,1444.25,4.89982,1.26083,0,0,0,0,0,4.60289,1.1967,0,0.00148025,0.00148025,0.00148025
23,1515.36,4.95578,1.26441,0,0,0,0,0,4.37629,1.18613,0,0.0014555,0.0014555,0.0014555
24,1583.46,4.91638,1.25843,0,0,0,0,0,4.44311,1.18254,0,0.00143075,0.00143075,0.00143075
25,1650.94,4.84378,1.25917,0,0,0,0,0,4.35901,1.18001,0,0.001406,0.001406,0.001406
26,1720.64,4.82388,1.25843,0,0,0,0,0,4.32927,1.17796,0,0.00138125,0.00138125,0.00138125
27,1788.69,4.83989,1.25623,0,0,0,0,0,4.34437,1.17894,0,0.0013565,0.0013565,0.0013565
28,1858.09,4.82027,1.25307,0,0,0,0,0,4.27433,1.17304,0,0.00133175,0.00133175,0.00133175
29,1926.97,4.86026,1.25033,0,0,0,0,0,4.46061,1.17542,0,0.001307,0.001307,0.001307
30,1995.97,4.80488,1.24822,0,0,0,0,0,4.26409,1.16838,0,0.00128225,0.00128225,0.00128225
31,2068.09,4.71561,1.25366,0,0,0,0,0,4.26335,1.17085,0,0.0012575,0.0012575,0.0012575
32,2138.07,4.83958,1.25047,0,0,0,0,0,4.29517,1.17258,0,0.00123275,0.00123275,0.00123275
33,2210.97,4.73891,1.24327,0,0,0,0,0,4.26056,1.16913,0,0.001208,0.001208,0.001208
34,2281.14,4.77455,1.24686,0,0,0,0,0,4.32675,1.17189,0,0.00118325,0.00118325,0.00118325
35,2350.26,4.78161,1.2418,0,0,0,0,0,4.3261,1.16466,0,0.0011585,0.0011585,0.0011585
36,2418.44,4.77409,1.24403,0,0,0,0,0,4.25272,1.16291,0,0.00113375,0.00113375,0.00113375
37,2485.5,4.68215,1.23991,0,0,0,0,0,4.26838,1.1653,0,0.001109,0.001109,0.001109
38,2557.58,4.73594,1.24345,0,0,0,0,0,4.31357,1.16289,0,0.00108425,0.00108425,0.00108425
39,2626.52,4.68881,1.23871,0,0,0,0,0,4.2246,1.15771,0,0.0010595,0.0010595,0.0010595
40,2694.76,4.69024,1.23769,0,0,0,0,0,4.24148,1.1592,0,0.00103475,0.00103475,0.00103475
41,2763.93,4.69845,1.23833,0,0,0,0,0,4.26173,1.16167,0,0.00101,0.00101,0.00101
42,2832.36,4.6639,1.23361,0,0,0,0,0,4.27664,1.16038,0,0.00098525,0.00098525,0.00098525
43,2899.22,4.6905,1.23749,0,0,0,0,0,4.17729,1.15417,0,0.0009605,0.0009605,0.0009605
44,2972.61,4.65757,1.23425,0,0,0,0,0,4.22546,1.15412,0,0.00093575,0.00093575,0.00093575
45,3042.69,4.64326,1.23273,0,0,0,0,0,4.22034,1.15694,0,0.000911,0.000911,0.000911
46,3113.58,4.60013,1.23115,0,0,0,0,0,4.22696,1.15484,0,0.00088625,0.00088625,0.00088625
47,3183.78,4.65944,1.23347,0,0,0,0,0,4.18729,1.15326,0,0.0008615,0.0008615,0.0008615
48,3256.53,4.65433,1.22858,0,0,0,0,0,4.18178,1.15159,0,0.00083675,0.00083675,0.00083675
49,3326.67,4.6026,1.22981,0,0,0,0,0,4.18551,1.1492,0,0.000812,0.000812,0.000812
50,3397,4.62814,1.22884,0,0,0,0,0,4.21762,1.15088,0,0.00078725,0.00078725,0.00078725
51,3468.82,4.59686,1.22771,0,0,0,0,0,4.17082,1.14847,0,0.0007625,0.0007625,0.0007625
52,3541.06,4.5938,1.22676,0,0,0,0,0,4.1767,1.14579,0,0.00073775,0.00073775,0.00073775
53,3610.78,4.55488,1.22514,0,0,0,0,0,4.21566,1.14963,0,0.000713,0.000713,0.000713
54,3682.76,4.59232,1.22535,0,0,0,0,0,4.20407,1.14945,0,0.00068825,0.00068825,0.00068825
55,3757.84,4.55269,1.2213,0,0,0,0,0,4.14751,1.14411,0,0.0006635,0.0006635,0.0006635
56,3830.79,4.56337,1.22172,0,0,0,0,0,4.1629,1.14574,0,0.00063875,0.00063875,0.00063875
57,3902.29,4.52722,1.2215,0,0,0,0,0,4.19186,1.14633,0,0.000614,0.000614,0.000614
58,3977.13,4.5323,1.22299,0,0,0,0,0,4.15472,1.14492,0,0.00058925,0.00058925,0.00058925
59,4052.07,4.5023,1.21862,0,0,0,0,0,4.14481,1.14452,0,0.0005645,0.0005645,0.0005645
60,4121.43,4.55518,1.2213,0,0,0,0,0,4.13177,1.14255,0,0.00053975,0.00053975,0.00053975
61,4196.48,4.48114,1.21572,0,0,0,0,0,4.12511,1.13965,0,0.000515,0.000515,0.000515
62,4267.3,4.51758,1.2185,0,0,0,0,0,4.13643,1.14059,0,0.00049025,0.00049025,0.00049025
63,4340.78,4.45818,1.21711,0,0,0,0,0,4.11071,1.14045,0,0.0004655,0.0004655,0.0004655
64,4414.88,4.56053,1.21842,0,0,0,0,0,4.19318,1.14397,0,0.00044075,0.00044075,0.00044075
65,4486.06,4.51161,1.21661,0,0,0,0,0,4.11014,1.14153,0,0.000416,0.000416,0.000416
66,4560.81,4.48294,1.21701,0,0,0,0,0,4.12181,1.1385,0,0.00039125,0.00039125,0.00039125
67,4634.59,4.45531,1.2145,0,0,0,0,0,4.10161,1.13761,0,0.0003665,0.0003665,0.0003665
