epoch,time,train/cls_loss,train/off_loss,train/placeholder,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/cls_loss,val/off_loss,val/placeholder,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.54,19.5513,1.67592,0,0,0,0,0,9.11944,1.49497,0,0.00997143,0.00332381,0.00997143,0.00332381,0.00997143,0.00332381,0.00997143,0.00332381
2,260.857,8.18459,1.46597,0,0,0,0,0,6.87038,1.40406,0,0.0199055,0.00663517,0.0199055,0.00663517,0.0199055,0.00663517,0.0199055,0.00663517
3,376.543,7.95145,1.42633,0,0,0,0,0,7.77134,1.3582,0,0.0297736,0.00992454,0.0297736,0.00992454,0.0297736,0.00992454,0.0297736,0.00992454
4,490.807,7.52053,1.40145,0,0,0,0,0,5.90898,1.33553,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,608.699,7.12242,1.38966,0,0,0,0,0,5.88089,1.3181,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,724.524,6.86351,1.37694,0,0,0,0,0,5.86825,1.31495,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,841.228,6.62913,1.37048,0,0,0,0,0,5.57147,1.29829,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,957.867,6.41457,1.36353,0,0,0,0,0,5.69907,1.28966,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1073.35,6.279,1.35491,0,0,0,0,0,5.42979,1.28556,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1191.71,6.24429,1.35449,0,0,0,0,0,5.49196,1.2782,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1310.8,6.1566,1.34751,0,0,0,0,0,5.44623,1.27238,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1425.79,6.06499,1.3425,0,0,0,0,0,5.3547,1.26757,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1543.66,6.03625,1.34227,0,0,0,0,0,5.37836,1.26582,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1662.92,5.93281,1.33749,0,0,0,0,0,5.38384,1.26441,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1778.39,5.93274,1.33232,0,0,0,0,0,5.28424,1.26236,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1896.19,5.89732,1.32993,0,0,0,0,0,5.27454,1.25766,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,2014.36,5.82373,1.32676,0,0,0,0,0,5.26094,1.25567,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,2135.18,5.84832,1.32947,0,0,0,0,0,5.29897,1.25359,0,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2255.27,5.78496,1.32322,0,0,0,0,0,5.19802,1.25274,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2371.1,5.76521,1.32096,0,0,0,0,0,5.29785,1.25201,0,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2492.22,5.85218,1.32626,0,0,0,0,0,5.18589,1.24929,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2611.32,5.72429,1.31844,0,0,0,0,0,5.23142,1.25024,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2729.68,5.74375,1.31824,0,0,0,0,0,5.23909,1.25345,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2843.91,5.71595,1.31613,0,0,0,0,0,5.17074,1.24741,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2963.5,5.70843,1.31654,0,0,0,0,0,5.19696,1.24049,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,3080.28,5.67829,1.31319,0,0,0,0,0,5.25027,1.24492,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,3199.31,5.65931,1.31344,0,0,0,0,0,5.33429,1.24879,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,3316.36,5.66285,1.31203,0,0,0,0,0,5.12311,1.23431,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,3436.5,5.66374,1.31027,0,0,0,0,0,5.35008,1.23985,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,3554.48,5.62288,1.309,0,0,0,0,0,5.17225,1.23544,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,3669.07,5.60648,1.30771,0,0,0,0,0,5.19582,1.23854,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,3786.51,5.65358,1.30997,0,0,0,0,0,5.14685,1.23429,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3905.6,5.56463,1.30123,0,0,0,0,0,5.11883,1.23588,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,4022.9,5.60801,1.30361,0,0,0,0,0,5.11032,1.2346,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,4139.94,5.55499,1.3007,0,0,0,0,0,5.10102,1.23284,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,4259.65,5.5633,1.30136,0,0,0,0,0,5.08682,1.23083,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,4380.36,5.51818,1.29854,0,0,0,0,0,5.09082,1.23279,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4498,5.53535,1.29965,0,0,0,0,0,5.12771,1.23612,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4613.14,5.52733,1.29787,0,0,0,0,0,5.06951,1.23032,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4732.87,5.51086,1.29649,0,0,0,0,0,5.06633,1.2311,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4850.28,5.50088,1.29544,0,0,0,0,0,5.17037,1.23577,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4966.78,5.47722,1.29,0,0,0,0,0,5.09237,1.22706,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,5084.78,5.48526,1.29524,0,0,0,0,0,5.08095,1.2293,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,5202.61,5.48514,1.29359,0,0,0,0,0,5.08532,1.22605,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,5318.39,5.47689,1.29046,0,0,0,0,0,5.0719,1.22791,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,5437.13,5.46172,1.29086,0,0,0,0,0,5.05691,1.22306,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,5554.31,5.47452,1.29544,0,0,0,0,0,5.08182,1.22675,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,5671.67,5.45358,1.28954,0,0,0,0,0,5.05726,1.22286,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,5786.76,5.44694,1.29161,0,0,0,0,0,5.05786,1.22714,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,5903.29,5.42343,1.28615,0,0,0,0,0,5.06084,1.22696,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,6021.23,5.43039,1.28727,0,0,0,0,0,5.03615,1.22144,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,6136.27,5.39336,1.28638,0,0,0,0,0,5.05326,1.22326,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,6252.78,5.38202,1.28397,0,0,0,0,0,5.06501,1.22357,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,6368.96,5.40044,1.28678,0,0,0,0,0,5.0767,1.22821,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,6482.86,5.38379,1.28278,0,0,0,0,0,5.04269,1.22127,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,6599.66,5.38743,1.28451,0,0,0,0,0,5.05033,1.2217,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,6712.97,5.36646,1.28454,0,0,0,0,0,5.05424,1.22304,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,6831.29,5.36274,1.2828,0,0,0,0,0,5.03912,1.22293,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,6948.9,5.34836,1.27992,0,0,0,0,0,5.02975,1.22004,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,7063.19,5.38273,1.28315,0,0,0,0,0,5.02221,1.22442,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,7181.58,5.33109,1.27821,0,0,0,0,0,5.02603,1.22042,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,7299.25,5.34872,1.27958,0,0,0,0,0,5.05403,1.2199,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,7414.08,5.31196,1.28017,0,0,0,0,0,5.11321,1.21983,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,7531.41,5.34208,1.2798,0,0,0,0,0,5.06621,1.22089,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,7647.46,5.31881,1.27827,0,0,0,0,0,5.03686,1.22212,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,7763.49,5.31264,1.27719,0,0,0,0,0,5.03061,1.22257,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,7880.92,5.29492,1.27739,0,0,0,0,0,5.04115,1.22004,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,7998.12,5.30959,1.2773,0,0,0,0,0,5.00921,1.21984,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,8113.4,5.26844,1.27303,0,0,0,0,0,5.02495,1.21903,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,8229.42,5.28143,1.2725,0,0,0,0,0,5.02205,1.22111,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,8345.75,5.26162,1.27291,0,0,0,0,0,5.02942,1.21772,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,8460.33,5.29472,1.27575,0,0,0,0,0,5.02364,1.21792,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,8578.2,5.23903,1.26969,0,0,0,0,0,5.10904,1.22319,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,8695.6,5.25161,1.27308,0,0,0,0,0,5.00979,1.21983,0,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,8811.77,5.28855,1.27748,0,0,0,0,0,5.04019,1.22159,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,8928.8,5.25384,1.27278,0,0,0,0,0,5.04069,1.21931,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,9046.4,5.21986,1.26971,0,0,0,0,0,5.01553,1.21819,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,9161.9,5.27498,1.27174,0,0,0,0,0,5.01794,1.21741,0,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,9280.75,5.25104,1.27034,0,0,0,0,0,5.02266,1.21976,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,9396.44,5.21808,1.2681,0,0,0,0,0,5.02615,1.22218,0,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,9510.73,5.18658,1.26591,0,0,0,0,0,5.0311,1.2205,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,9627.39,5.19744,1.26513,0,0,0,0,0,5.03298,1.21984,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,9743.09,5.21861,1.26882,0,0,0,0,0,5.03791,1.22098,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,9858.62,5.18825,1.26697,0,0,0,0,0,5.02429,1.21743,0,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,9975.56,5.19366,1.26555,0,0,0,0,0,5.03967,1.21788,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,10090.3,5.1761,1.26362,0,0,0,0,0,5.038,1.22194,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,10207.7,5.18664,1.26536,0,0,0,0,0,5.03899,1.21933,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,10324.3,5.20807,1.26639,0,0,0,0,0,5.03035,1.21964,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,10439.1,5.17794,1.26422,0,0,0,0,0,5.03,1.21709,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,10557.5,5.1534,1.26175,0,0,0,0,0,5.01224,1.21817,0,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,10674.1,5.17465,1.26305,0,0,0,0,0,5.05047,1.22133,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,10788.4,5.16007,1.26449,0,0,0,0,0,5.01628,1.21765,0,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,10904.3,5.18029,1.26287,0,0,0,0,0,5.03793,1.2196,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
