epoch,time,train/cls_loss,train/off_loss,train/placeholder,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/cls_loss,val/off_loss,val/placeholder,lr/pg0,lr/pg1,lr/pg2
1,95.0598,26.311,1.58866,0,0,0,0,0,15.0462,1.44267,0,0.000664762,0.000664762,0.000664762
2,186.882,13.6521,1.44822,0,0,0,0,0,8.22032,1.39882,0,0.00132484,0.00132484,0.00132484
3,284.436,9.15831,1.43023,0,0,0,0,0,7.08309,1.39122,0,0.00197831,0.00197831,0.00197831
4,381.674,8.14165,1.4235,0,0,0,0,0,6.76412,1.41001,0,0.0019703,0.0019703,0.0019703
5,479.386,7.48699,1.42735,0,0,0,0,0,6.53308,1.35896,0,0.0019604,0.0019604,0.0019604
6,578.592,7.32248,1.40939,0,0,0,0,0,6.33726,1.34989,0,0.0019505,0.0019505,0.0019505
7,678.956,6.83952,1.39616,0,0,0,0,0,5.82979,1.32969,0,0.0019406,0.0019406,0.0019406
8,780.458,6.55111,1.38675,0,0,0,0,0,5.9599,1.32418,0,0.0019307,0.0019307,0.0019307
9,880.336,6.87277,1.38644,0,0,0,0,0,5.96866,1.32526,0,0.0019208,0.0019208,0.0019208
10,982.12,6.51012,1.38328,0,0,0,0,0,5.75117,1.31924,0,0.0019109,0.0019109,0.0019109
11,1083.59,6.4042,1.37785,0,0,0,0,0,5.6472,1.32118,0,0.001901,0.001901,0.001901
12,1185.27,6.45333,1.37231,0,0,0,0,0,5.72347,1.30294,0,0.0018911,0.0018911,0.0018911
13,1287.88,6.32306,1.37058,0,0,0,0,0,5.89685,1.30574,0,0.0018812,0.0018812,0.0018812
14,1389.34,6.26153,1.36949,0,0,0,0,0,5.51578,1.30336,0,0.0018713,0.0018713,0.0018713
15,1497.09,6.28762,1.36641,0,0,0,0,0,5.58054,1.29768,0,0.0018614,0.0018614,0.0018614
16,1601.1,6.34656,1.35987,0,0,0,0,0,5.54366,1.29822,0,0.0018515,0.0018515,0.0018515
17,1705.56,6.35855,1.35889,0,0,0,0,0,5.43664,1.28903,0,0.0018416,0.0018416,0.0018416
18,1806.58,6.11647,1.35842,0,0,0,0,0,5.64001,1.2871,0,0.0018317,0.0018317,0.0018317
19,1909.66,6.07402,1.35369,0,0,0,0,0,5.47286,1.28786,0,0.0018218,0.0018218,0.0018218
20,2011.16,6.10374,1.352,0,0,0,0,0,5.49692,1.28731,0,0.0018119,0.0018119,0.0018119
21,2115.21,6.16228,1.35225,0,0,0,0,0,5.4858,1.2755,0,0.001802,0.001802,0.001802
22,2220.87,5.99797,1.34817,0,0,0,0,0,5.62032,1.28476,0,0.0017921,0.0017921,0.0017921
23,2322.49,6.16957,1.34822,0,0,0,0,0,5.40127,1.28126,0,0.0017822,0.0017822,0.0017822
24,2426.33,6.00543,1.34739,0,0,0,0,0,5.48109,1.28417,0,0.0017723,0.0017723,0.0017723
25,2530.1,5.98446,1.34579,0,0,0,0,0,5.3195,1.26992,0,0.0017624,0.0017624,0.0017624
26,2635.59,5.93924,1.34328,0,0,0,0,0,5.34536,1.27657,0,0.0017525,0.0017525,0.0017525
27,2738.07,5.95678,1.34029,0,0,0,0,0,5.31594,1.27154,0,0.0017426,0.0017426,0.0017426
28,2845.26,5.93019,1.3431,0,0,0,0,0,5.39951,1.29201,0,0.0017327,0.0017327,0.0017327
29,2950.64,5.93927,1.34045,0,0,0,0,0,5.264,1.26364,0,0.0017228,0.0017228,0.0017228
30,3054.55,5.92385,1.33533,0,0,0,0,0,5.30253,1.26384,0,0.0017129,0.0017129,0.0017129
31,3157.73,5.84364,1.33627,0,0,0,0,0,5.35607,1.26478,0,0.001703,0.001703,0.001703
32,3262.68,5.90521,1.33544,0,0,0,0,0,5.27637,1.26517,0,0.0016931,0.0016931,0.0016931
33,3366.58,5.81468,1.32895,0,0,0,0,0,5.34447,1.2621,0,0.0016832,0.0016832,0.0016832
34,3474.58,5.83877,1.33179,0,0,0,0,0,5.34717,1.27264,0,0.0016733,0.0016733,0.0016733
