epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.5911,4.42375,2.36004,0.85689,0.10762,0.10713,0.01987,0.00445,4.13428,1.85536,0.77437,0.000664762,0.000664762,0.000664762
2,165.919,4.11329,1.91606,0.76088,0.17164,0.16282,0.04994,0.01179,3.76612,1.72303,0.73654,0.00126552,0.00126552,0.00126552
3,762.585,4.05171,1.86223,0.74987,0.03572,0.0452,0.00521,0.00183,4.61418,1.96615,0.80166,0.00180028,0.00180028,0.00180028
4,828.331,3.993,1.83921,0.73612,0.17862,0.16359,0.05289,0.01359,3.68641,1.72821,0.72738,0.001703,0.001703,0.001703
5,893.7,3.97634,1.80489,0.73346,0.17286,0.16328,0.05245,0.01166,3.7763,1.74333,0.73442,0.001604,0.001604,0.001604
6,959.537,3.95622,1.78525,0.73212,0.13491,0.11799,0.02985,0.00548,4.04894,1.73297,0.75842,0.001505,0.001505,0.001505
7,1029.18,3.90083,1.77814,0.73006,0.22016,0.18623,0.0751,0.01853,3.56449,1.61162,0.72635,0.001406,0.001406,0.001406
8,1095.07,3.87632,1.76654,0.73142,0.16003,0.15166,0.04184,0.00773,3.85429,1.73088,0.73884,0.001307,0.001307,0.001307
9,1277.51,3.89137,1.7623,0.7235,0.18563,0.16494,0.05409,0.01001,3.77689,1.66551,0.73765,0.001208,0.001208,0.001208
10,1344.35,3.85449,1.74237,0.72826,0.18906,0.16179,0.05721,0.01234,3.75555,1.647,0.73627,0.001109,0.001109,0.001109
11,1404.95,3.67953,1.79369,0.74399,0.24162,0.20175,0.08607,0.02182,3.4553,1.58668,0.71083,0.00101,0.00101,0.00101
12,1464.64,3.62193,1.74997,0.73803,0.25099,0.20709,0.09429,0.02179,3.49775,1.5587,0.70842,0.000911,0.000911,0.000911
13,1525.24,3.59155,1.71432,0.73566,0.25508,0.20419,0.09501,0.02243,3.51277,1.55186,0.70382,0.000812,0.000812,0.000812
14,1583.97,3.59088,1.71196,0.73249,0.26162,0.20869,0.09466,0.02313,3.44562,1.53627,0.70361,0.000713,0.000713,0.000713
15,1652.94,3.55913,1.69162,0.73389,0.26367,0.20994,0.09527,0.02358,3.43601,1.53648,0.70435,0.000614,0.000614,0.000614
16,1714.23,3.57138,1.68636,0.73263,0.26492,0.20909,0.09735,0.02397,3.471,1.52714,0.70393,0.000515,0.000515,0.000515
17,1774.31,3.55035,1.68383,0.73149,0.26556,0.21309,0.10057,0.02424,3.51726,1.52291,0.70532,0.000416,0.000416,0.000416
18,1832.56,3.53377,1.67271,0.7339,0.27412,0.21476,0.10524,0.02483,3.5294,1.52431,0.70648,0.000317,0.000317,0.000317
19,1892.97,3.49746,1.67501,0.73534,0.27441,0.21643,0.10499,0.0254,3.47129,1.5069,0.70079,0.000218,0.000218,0.000218
20,1953.51,3.51237,1.66007,0.72987,0.27583,0.21922,0.10631,0.02655,3.43802,1.50328,0.70101,0.000119,0.000119,0.000119
